end_station_name,end_lat,end_lng,casual_stops,percent_of_casual_stops
Rush St & Hubbard St,41.89017300000014,-87.62618500000053,3398,0.1896182078121809
Franklin St & Chicago Ave,41.896789999999584,-87.6356399999988,3396,0.18950660203948388
Franklin St & Adams St ,41.87943409140056,-87.63550400733948,3380,0.188613755857908
Southport Ave & Wrightwood Ave,41.92877299999972,-87.66391299999859,3378,0.188502150085211
Larrabee St & Division St,41.90348607306832,-87.64335349142944,3360,0.1874976981309381
Sheridan Rd & Buena Ave,41.958486312979986,-87.65502310357783,3348,0.18682806349475622
State St & Harrison St,41.874052999999655,-87.627716000001,3334,0.1860468230858773
Sheridan Rd & Noyes St (NU),42.058239000000434,-87.6774319999991,3316,0.1850423711316044
Franklin St & Lake St,41.88583700000072,-87.63550000000043,3302,0.18426113072272549
Wabash Ave & Washington St,41.88319999999935,-87.62661999999915,3272,0.1825870441322707
Southport Ave & Belmont Ave,41.93947775040554,-87.6637476682663,3223,0.17985270270119452
Chicago Ave & Sheridan Rd,42.05049100000059,-87.67782099999988,3211,0.1791830680650126
Elizabeth St & Randolph St,41.884336000000175,-87.65890199999956,3191,0.17806701033804273
Desplaines St & Jackson Blvd,41.87811890091237,-87.64394760131836,3190,0.17801120745169421
Lincoln Ave & Melrose St,41.94060000000078,-87.66943500000154,3185,0.17773219301995175
Ogden Ave & Chicago Ave,41.89636245799949,-87.65406127290038,3184,0.17767639013360328
Michigan Ave & Madison St,41.88213399999981,-87.625125,3166,0.17667193817933038
Dearborn St & Monroe St,41.88131981500018,-87.62952091930082,3161,0.17639292374758792
Clark St & Leland Ave,41.96708784118392,-87.66729088701048,3158,0.17622551508854245
Damen Ave & Division St,41.90326600000037,-87.67843499999944,3150,0.1757790919977545
Clifton Ave & Armitage Ave,41.91821599999934,-87.65693600000004,3146,0.17555588045236054
Broadway & Wilson Ave,41.96522099999963,-87.65813900000065,3131,0.17471883715713313
Burling St & Diversey Pkwy,41.933140000000336,-87.64776000000101,3126,0.17443982272539066
Fort Dearborn Dr & 31st St*,41.83867628853783,-87.60883197573139,3089,0.1723751159304964
Clark St & Bryn Mawr Ave,41.983593000000226,-87.66915400000089,3089,0.1723751159304964
Benson Ave & Church St,42.04821399999983,-87.68348500000069,3074,0.171538072635269
Larrabee St & Armitage Ave,41.91808400000024,-87.64374900000023,3059,0.17070102934004158
Racine Ave & Fullerton Ave,41.9255660000001,-87.65841600000024,3029,0.16902694274958677
Fulton Market,41.8868710000003,-87.64808899999886,3012,0.16807829368166238
Marine Dr & Ainslie St,41.97159999999975,-87.65015400000138,2962,0.16528814936423772
Clark St & Arlington Pl,41.9269398858832,-87.64147991324332,2951,0.1646743176144043
Financial Pl & Ida B Wells Dr,41.87502362803287,-87.6330940425396,2929,0.16344665411473744
Greenview Ave & Fullerton Ave,41.9253299999993,-87.66580000000076,2928,0.16339085122838895
Loomis St & Lexington St,41.87222873224061,-87.66136385500431,2909,0.16233059638776756
Halsted St & Willow St,41.91386500000007,-87.64875500000076,2866,0.15993107227478234
Halsted St & Maxwell St,41.864883000000106,-87.64707099999971,2827,0.15775475970719108
Dearborn St & Division St,41.9043000000001,-87.6299100000015,2807,0.15663870198022123
Calumet Ave & 21st St,41.85418424947025,-87.61915374149982,2804,0.15647129332117574
Green St & Washington Blvd,41.883181305772645,-87.6487246167462,2797,0.1560806731167363
Carpenter St & Huron St,41.89455599999959,-87.65344900000011,2758,0.15390436054914505
Canal St & Jackson Blvd,41.87812811112902,-87.63996968170004,2744,0.15312312014026613
Clarendon Ave & Leland Ave,41.96796799999996,-87.65000100000115,2735,0.15262089416312968
Sheridan Rd & Argyle St,41.97328682025965,-87.65475958585739,2729,0.15228607684503873
Green St & Lake St ,41.88557999999969,-87.64841000000064,2716,0.15156063932250832
Damen Ave & Wicker Park Ave,41.90881519999981,-87.67719370000067,2687,0.149942355618402
Morgan St & Lake St*,41.88549170626987,-87.65228927135468,2686,0.1498865527320535
Broadway & Thorndale Ave,41.989742511439644,-87.66014062090017,2681,0.14960753830031104
LaSalle St & Jackson Blvd,41.87816599999966,-87.63192899999837,2675,0.14927272098222008
Orleans St & Hubbard St,41.89002800000036,-87.63661799999959,2664,0.14865888923238665
Wood St & Milwaukee Ave,41.90708480779613,-87.67211673239915,2645,0.14759863439176527
Larrabee St & Kingsbury St,41.89776400000003,-87.64288400000069,2637,0.14715221130097733
Clark St & Eddy St ,41.94627999999997,-87.65626999999999,2630,0.14676159109653786
State St & Van Buren St,41.87718100000023,-87.62784400000062,2620,0.14620356223305292
Southport Ave & Irving Park Rd,41.95417699999972,-87.66435800000079,2609,0.14558973048321952
Wells St & Institute Pl,41.89737986072364,-87.63442039489746,2608,0.14553392759687103
Broadway & Granville Ave,41.994779688400406,-87.66028453489928,2604,0.14531071605147705
Broadway & Oakdale Ave,41.93558041926893,-87.64404982696931,2597,0.14492009584703758
Wabash Ave & 16th St,41.860383999999705,-87.62581300000029,2575,0.14369243234737072
Ashland Ave & Division St,41.90317395710728,-87.66927108239389,2574,0.14363662946102224
Hampden Ct & Diversey Pkwy,41.93246999999981,-87.64241999999982,2566,0.1431902063702343
Damen Ave & Thomas St (Augusta Blvd),41.901315000000004,-87.67740900000018,2563,0.1430227977111888
Aberdeen St & Carroll Ave,41.8881899999998,-87.65459000000043,2561,0.14291119193849183
Woodlawn Ave & 55th St,41.795264000000245,-87.59647099999904,2528,0.14106969668899155
Halsted St & Armitage Ave,41.918230000000186,-87.64879000000074,2512,0.14017685050741563
Woodlawn Ave & 58th St,41.78938100000004,-87.59647899999985,2511,0.14012104762106714
Wilton Ave & Addison St,41.94745900000012,-87.6532159999998,2506,0.1398420331893247
Ogden Ave & Race Ave,41.891795000000165,-87.65875099999985,2499,0.13945141298488523
Clinton St & Roosevelt Rd,41.86711778250044,-87.64108795930046,2499,0.13945141298488523
Western Ave & Winnebago Ave,41.915520000000015,-87.68702199999896,2479,0.13833535525791535
Ashland Ave & Blackhawk St,41.90706599999984,-87.66725199999948,2475,0.13811214371252137
Green St & Randolph St*,41.88360159920309,-87.64862672860889,2446,0.13649386000841507
Clark St & Montrose Ave,41.9615879999995,-87.66603599999979,2440,0.1361590426903241
Sheffield Ave & Willow St,41.91368800000033,-87.65285499999881,2411,0.1345407589862178
Orleans St & Chestnut St (NEXT Apts),41.898202999999704,-87.63753599999914,2409,0.1344291532135208
Delano Ct & Roosevelt Rd,41.86749100000024,-87.63218999999961,2401,0.13398273012273287
900 W Harrison St,41.87475399999988,-87.64980699999994,2399,0.13387112435003587
Dearborn St & Adams St,41.87937555453318,-87.62976150076389,2391,0.13342470125924794
Wood St & Beach Ave,41.90765500000035,-87.67255200000142,2385,0.13308988394115698
Dearborn St & Van Buren St,41.876268,-87.62915500000041,2372,0.13236444641862655
Sangamon St & Washington Blvd,41.883164999999636,-87.65110000000044,2362,0.1318064175551416
Cornell Ave & Hyde Park Blvd,41.80240599999982,-87.58692400000051,2320,0.1294626963285049
Racine Ave & Wrightwood Ave,41.92888699999953,-87.65897099999941,2293,0.12795601839709558
Kingsbury St & Kinzie St 1,41.88907000000007,-87.63834999999798,2288,0.12767700396535311
May St & Taylor St,41.86939043256855,-87.65539649442572,2272,0.1267841577837772
Paulina Ave & North Ave,41.90985465216755,-87.66993016004562,2266,0.12644934046568626
Broadway & Berwyn Ave,41.978361000000355,-87.65978899999938,2264,0.12633773469298926
Noble St & Milwaukee Ave,41.90069999999931,-87.66260700000042,2253,0.12572390294315583
Dearborn St & Maple St,41.901919999999556,-87.63026000000086,2252,0.12566810005680734
Humboldt Blvd & Armitage Ave,41.91751339398996,-87.70180895549966,2252,0.12566810005680734
Lake Park Ave & 53rd St,41.79949429372973,-87.5864498958998,2216,0.12365919614826157
Clark St & Ida B Wells Dr,41.875932665500244,-87.63058453549944,2213,0.1234917874892161
Broadway & Argyle St,41.974229999999835,-87.65977350000028,2212,0.12343598460286759
Morgan St & Polk St,41.871737000000344,-87.65102999999968,2200,0.12276634996668569
State St & Pearson St,41.89744800000025,-87.62872199999974,2192,0.12231992687589772
Fairbanks St & Superior St,41.895748000000026,-87.62010400000057,2191,0.12226412398954924
Paulina St & Division St,41.90355289116396,-87.67042920730866,2189,0.12215251821685225
California Ave & Cortez St,41.900363000000304,-87.6967040000009,2175,0.12137127780797335
Winthrop Ave & Lawrence Ave,41.96881199999957,-87.65765899999968,2172,0.12120386914892785
Desplaines St & Randolph St,41.88370299999983,-87.64423800000056,2170,0.12109226337623089
Eckhart Park,41.896373370000184,-87.66098385999952,2169,0.12103646048988237
Canal St & Monroe St,41.88290560000035,-87.6397409000002,2162,0.12064584028544292
Damen Ave & Leland Ave,41.96708099999982,-87.67907600000032,2162,0.12064584028544292
Damen Ave & Charleston St,41.92008200000004,-87.67785500000102,2150,0.11997620564926101
Lincoln Ave & Sunnyside Ave,41.96300400000006,-87.68478100000084,2149,0.1199204027629125
Damen Ave & Foster Ave,41.97581097557488,-87.6795098985795,2148,0.11986459987656402
Blackstone Ave & 59th St,41.78787700000027,-87.59046099999993,2124,0.11852533060420017
Racine Ave & 18th St,41.85839960000025,-87.65642259999947,2114,0.11796730174071524
Morgan St & 18th St,41.85808600000014,-87.65107300000061,2109,0.11768828730897277
Wacker Dr & Washington St,41.88314336439065,-87.63724207878113,2089,0.11657222958200289
Ashland Ave & Grace St,41.9507720740546,-87.6687286041554,2070,0.11551197474138153
Southport Ave & Clybourn Ave,41.9209710113463,-87.66443744023171,2069,0.11545617185503303
Kingsbury St & Kinzie St 2,41.889188000000566,-87.63838700000105,2066,0.11528876319598755
Walsh Park,41.914609999999854,-87.66796800000023,2054,0.11461912855980562
Ashland Ave & Lake St,41.88592000000029,-87.66717000000041,2053,0.11456332567345714
Ashland Ave & Chicago Ave,41.895954357343435,-87.6677280664444,2053,0.11456332567345714
Wood St & Chicago Ave,41.895634000000314,-87.67206900000009,2046,0.11417270546901769
Milwaukee Ave & Fullerton Ave,41.924690100434766,-87.70059497825625,2038,0.11372628237822974
