end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Lincoln Ave & Belle Plaine Ave,41.956003550785645,-87.68016144633293,3816,0.11597250819420533
Loomis St & Jackson Blvd,41.877945000000146,-87.66200699999968,3802,0.11554703253521192
Canal St & Taylor St,41.87025699999986,-87.6394740000003,3792,0.11524312135021662
Clark St & Eddy St ,41.94628,-87.65626999999995,3774,0.11469608121722508
LaSalle St & Adams St,41.879344373460185,-87.63198522129903,3761,0.1143009966767312
California Ave & Cortez St,41.90036300000034,-87.69670400000099,3724,0.1131765252922486
Morgan Ave & 14th Pl,41.86237799999994,-87.65106200000028,3648,0.11086680028628433
LaSalle St & Calhoun Pl ,41.88266400000017,-87.63253,3613,0.1098031111388008
Drexel Ave & 60th St,41.785861000000104,-87.60455299999967,3592,0.10916489765031066
Damen Ave & Wellington Ave,41.935880000000054,-87.67841999999902,3588,0.10904333317631254
Lakefront Trail & Wilson Ave,41.966855899999274,-87.64309260000077,3582,0.10886098646531536
Ashland Ave & Lake St,41.88592000000023,-87.6671700000004,3562,0.10825316409532477
Wabash Ave & Wacker Pl,41.88687499999934,-87.62602999999956,3562,0.10825316409532477
Damen Ave & Clybourn Ave,41.93203401182315,-87.67812700601534,3562,0.10825316409532477
